week,staff_id,staff_name,role,service,present
19,STF-2e0dd6e9,Angie Henderson,doctor,emergency,0
20,STF-2e0dd6e9,Angie Henderson,doctor,emergency,1
21,STF-2e0dd6e9,Angie Henderson,doctor,emergency,0
22,STF-2e0dd6e9,Angie Henderson,doctor,emergency,1
23,STF-2e0dd6e9,Angie Henderson,doctor,emergency,1
24,STF-2e0dd6e9,Angie Henderson,doctor,emergency,0
25,STF-2e0dd6e9,Angie Henderson,doctor,emergency,1
26,STF-2e0dd6e9,Angie Henderson,doctor,emergency,1
27,STF-2e0dd6e9,Angie Henderson,doctor,emergency,0
28,STF-2e0dd6e9,Angie Henderson,doctor,emergency,1
29,STF-2e0dd6e9,Angie Henderson,doctor,emergency,1
30,STF-2e0dd6e9,Angie Henderson,doctor,emergency,0
31,STF-2e0dd6e9,Angie Henderson,doctor,emergency,0
32,STF-2e0dd6e9,Angie Henderson,doctor,emergency,1
33,STF-2e0dd6e9,Angie Henderson,doctor,emergency,0
34,STF-2e0dd6e9,Angie Henderson,doctor,emergency,1
35,STF-2e0dd6e9,Angie Henderson,doctor,emergency,1
36,STF-2e0dd6e9,Angie Henderson,doctor,emergency,0
37,STF-2e0dd6e9,Angie Henderson,doctor,emergency,1
38,STF-2e0dd6e9,Angie Henderson,doctor,emergency,0
39,STF-2e0dd6e9,Angie Henderson,doctor,emergency,0
40,STF-2e0dd6e9,Angie Henderson,doctor,emergency,1
41,STF-2e0dd6e9,Angie Henderson,doctor,emergency,1
42,STF-2e0dd6e9,Angie Henderson,doctor,emergency,0
43,STF-2e0dd6e9,Angie Henderson,doctor,emergency,1
44,STF-2e0dd6e9,Angie Henderson,doctor,emergency,1
45,STF-2e0dd6e9,Angie Henderson,doctor,emergency,0
46,STF-2e0dd6e9,Angie Henderson,doctor,emergency,1
47,STF-2e0dd6e9,Angie Henderson,doctor,emergency,1
48,STF-2e0dd6e9,Angie Henderson,doctor,emergency,0
49,STF-2e0dd6e9,Angie Henderson,doctor,emergency,1
50,STF-2e0dd6e9,Angie Henderson,doctor,emergency,1
51,STF-2e0dd6e9,Angie Henderson,doctor,emergency,0
52,STF-2e0dd6e9,Angie Henderson,doctor,emergency,1
1,STF-403052c0,Daniel Wagner,doctor,emergency,1
2,STF-403052c0,Daniel Wagner,doctor,emergency,1
3,STF-403052c0,Daniel Wagner,doctor,emergency,0
4,STF-403052c0,Daniel Wagner,doctor,emergency,1
5,STF-403052c0,Daniel Wagner,doctor,emergency,1
6,STF-403052c0,Daniel Wagner,doctor,emergency,0
7,STF-403052c0,Daniel Wagner,doctor,emergency,1
8,STF-403052c0,Daniel Wagner,doctor,emergency,1
9,STF-403052c0,Daniel Wagner,doctor,emergency,0
10,STF-403052c0,Daniel Wagner,doctor,emergency,1
11,STF-403052c0,Daniel Wagner,doctor,emergency,1
12,STF-403052c0,Daniel Wagner,doctor,emergency,0
13,STF-403052c0,Daniel Wagner,doctor,emergency,0
14,STF-403052c0,Daniel Wagner,doctor,emergency,1
15,STF-403052c0,Daniel Wagner,doctor,emergency,0
16,STF-403052c0,Daniel Wagner,doctor,emergency,1
17,STF-403052c0,Daniel Wagner,doctor,emergency,1
18,STF-403052c0,Daniel Wagner,doctor,emergency,0
19,STF-403052c0,Daniel Wagner,doctor,emergency,1
20,STF-403052c0,Daniel Wagner,doctor,emergency,1
21,STF-403052c0,Daniel Wagner,doctor,emergency,0
22,STF-403052c0,Daniel Wagner,doctor,emergency,1
23,STF-403052c0,Daniel Wagner,doctor,emergency,1
24,STF-403052c0,Daniel Wagner,doctor,emergency,0
25,STF-403052c0,Daniel Wagner,doctor,emergency,1
26,STF-403052c0,Daniel Wagner,doctor,emergency,1
27,STF-403052c0,Daniel Wagner,doctor,emergency,0
28,STF-403052c0,Daniel Wagner,doctor,emergency,1
29,STF-403052c0,Daniel Wagner,doctor,emergency,1
30,STF-403052c0,Daniel Wagner,doctor,emergency,0
31,STF-403052c0,Daniel Wagner,doctor,emergency,1
32,STF-403052c0,Daniel Wagner,doctor,emergency,1
33,STF-403052c0,Daniel Wagner,doctor,emergency,0
34,STF-403052c0,Daniel Wagner,doctor,emergency,1
35,STF-403052c0,Daniel Wagner,doctor,emergency,1
36,STF-403052c0,Daniel Wagner,doctor,emergency,0
37,STF-403052c0,Daniel Wagner,doctor,emergency,0
38,STF-403052c0,Daniel Wagner,doctor,emergency,0
39,STF-403052c0,Daniel Wagner,doctor,emergency,0
40,STF-403052c0,Daniel Wagner,doctor,emergency,1
41,STF-403052c0,Daniel Wagner,doctor,emergency,1
42,STF-403052c0,Daniel Wagner,doctor,emergency,0
43,STF-403052c0,Daniel Wagner,doctor,emergency,1
44,STF-403052c0,Daniel Wagner,doctor,emergency,1
45,STF-403052c0,Daniel Wagner,doctor,emergency,0
46,STF-403052c0,Daniel Wagner,doctor,emergency,1
47,STF-403052c0,Daniel Wagner,doctor,emergency,1
48,STF-403052c0,Daniel Wagner,doctor,emergency,0
49,STF-403052c0,Daniel Wagner,doctor,emergency,1
50,STF-403052c0,Daniel Wagner,doctor,emergency,1
51,STF-403052c0,Daniel Wagner,doctor,emergency,0
52,STF-403052c0,Daniel Wagner,doctor,emergency,1
1,STF-c696ae9c,Cristian Santos,doctor,emergency,1
2,STF-c696ae9c,Cristian Santos,doctor,emergency,1
3,STF-c696ae9c,Cristian Santos,doctor,emergency,0
4,STF-c696ae9c,Cristian Santos,doctor,emergency,1
5,STF-c696ae9c,Cristian Santos,doctor,emergency,1
6,STF-c696ae9c,Cristian Santos,doctor,emergency,0
7,STF-c696ae9c,Cristian Santos,doctor,emergency,1
8,STF-c696ae9c,Cristian Santos,doctor,emergency,1
9,STF-c696ae9c,Cristian Santos,doctor,emergency,0
10,STF-c696ae9c,Cristian Santos,doctor,emergency,0
11,STF-c696ae9c,Cristian Santos,doctor,emergency,1
12,STF-c696ae9c,Cristian Santos,doctor,emergency,0
13,STF-c696ae9c,Cristian Santos,doctor,emergency,0
14,STF-c696ae9c,Cristian Santos,doctor,emergency,0
15,STF-c696ae9c,Cristian Santos,doctor,emergency,0
16,STF-c696ae9c,Cristian Santos,doctor,emergency,1
17,STF-c696ae9c,Cristian Santos,doctor,emergency,1
18,STF-c696ae9c,Cristian Santos,doctor,emergency,0
19,STF-c696ae9c,Cristian Santos,doctor,emergency,1
20,STF-c696ae9c,Cristian Santos,doctor,emergency,1
21,STF-c696ae9c,Cristian Santos,doctor,emergency,0
22,STF-c696ae9c,Cristian Santos,doctor,emergency,1
23,STF-c696ae9c,Cristian Santos,doctor,emergency,1
24,STF-c696ae9c,Cristian Santos,doctor,emergency,0
25,STF-c696ae9c,Cristian Santos,doctor,emergency,1
26,STF-c696ae9c,Cristian Santos,doctor,emergency,1
27,STF-c696ae9c,Cristian Santos,doctor,emergency,0
28,STF-c696ae9c,Cristian Santos,doctor,emergency,1
29,STF-c696ae9c,Cristian Santos,doctor,emergency,1
30,STF-c696ae9c,Cristian Santos,doctor,emergency,0
31,STF-c696ae9c,Cristian Santos,doctor,emergency,1
32,STF-c696ae9c,Cristian Santos,doctor,emergency,1
33,STF-c696ae9c,Cristian Santos,doctor,emergency,0
34,STF-c696ae9c,Cristian Santos,doctor,emergency,1
35,STF-c696ae9c,Cristian Santos,doctor,emergency,0
36,STF-c696ae9c,Cristian Santos,doctor,emergency,0
37,STF-c696ae9c,Cristian Santos,doctor,emergency,1
38,STF-c696ae9c,Cristian Santos,doctor,emergency,1
39,STF-c696ae9c,Cristian Santos,doctor,emergency,0
40,STF-c696ae9c,Cristian Santos,doctor,emergency,1
41,STF-c696ae9c,Cristian Santos,doctor,emergency,1
42,STF-c696ae9c,Cristian Santos,doctor,emergency,0
43,STF-c696ae9c,Cristian Santos,doctor,emergency,1
44,STF-c696ae9c,Cristian Santos,doctor,emergency,1
45,STF-c696ae9c,Cristian Santos,doctor,emergency,0
46,STF-c696ae9c,Cristian Santos,doctor,emergency,0
47,STF-c696ae9c,Cristian Santos,doctor,emergency,1
48,STF-c696ae9c,Cristian Santos,doctor,emergency,0
49,STF-c696ae9c,Cristian Santos,doctor,emergency,1
50,STF-c696ae9c,Cristian Santos,doctor,emergency,1
51,STF-c696ae9c,Cristian Santos,doctor,emergency,0
52,STF-c696ae9c,Cristian Santos,doctor,emergency,1
1,STF-bea9d5c9,Connie Lawrence,doctor,emergency,1
2,STF-bea9d5c9,Connie Lawrence,doctor,emergency,1
3,STF-bea9d5c9,Connie Lawrence,doctor,emergency,0
4,STF-bea9d5c9,Connie Lawrence,doctor,emergency,1
5,STF-bea9d5c9,Connie Lawrence,doctor,emergency,1
6,STF-bea9d5c9,Connie Lawrence,doctor,emergency,0
7,STF-bea9d5c9,Connie Lawrence,doctor,emergency,1
8,STF-bea9d5c9,Connie Lawrence,doctor,emergency,1
9,STF-bea9d5c9,Connie Lawrence,doctor,emergency,0
10,STF-bea9d5c9,Connie Lawrence,doctor,emergency,1
11,STF-bea9d5c9,Connie Lawrence,doctor,emergency,1
12,STF-bea9d5c9,Connie Lawrence,doctor,emergency,0
13,STF-bea9d5c9,Connie Lawrence,doctor,emergency,1
14,STF-bea9d5c9,Connie Lawrence,doctor,emergency,1
15,STF-bea9d5c9,Connie Lawrence,doctor,emergency,0
16,STF-bea9d5c9,Connie Lawrence,doctor,emergency,1
17,STF-bea9d5c9,Connie Lawrence,doctor,emergency,1
18,STF-bea9d5c9,Connie Lawrence,doctor,emergency,0
19,STF-bea9d5c9,Connie Lawrence,doctor,emergency,1
20,STF-bea9d5c9,Connie Lawrence,doctor,emergency,1
21,STF-bea9d5c9,Connie Lawrence,doctor,emergency,0
22,STF-bea9d5c9,Connie Lawrence,doctor,emergency,1
23,STF-bea9d5c9,Connie Lawrence,doctor,emergency,1
24,STF-bea9d5c9,Connie Lawrence,doctor,emergency,0
25,STF-bea9d5c9,Connie Lawrence,doctor,emergency,0
26,STF-bea9d5c9,Connie Lawrence,doctor,emergency,1
27,STF-bea9d5c9,Connie Lawrence,doctor,emergency,0
28,STF-bea9d5c9,Connie Lawrence,doctor,emergency,0
29,STF-bea9d5c9,Connie Lawrence,doctor,emergency,1
30,STF-bea9d5c9,Connie Lawrence,doctor,emergency,0
31,STF-bea9d5c9,Connie Lawrence,doctor,emergency,1
32,STF-bea9d5c9,Connie Lawrence,doctor,emergency,1
33,STF-bea9d5c9,Connie Lawrence,doctor,emergency,0
34,STF-bea9d5c9,Connie Lawrence,doctor,emergency,1
35,STF-bea9d5c9,Connie Lawrence,doctor,emergency,1
36,STF-bea9d5c9,Connie Lawrence,doctor,emergency,0
37,STF-bea9d5c9,Connie Lawrence,doctor,emergency,1
38,STF-bea9d5c9,Connie Lawrence,doctor,emergency,1
39,STF-bea9d5c9,Connie Lawrence,doctor,emergency,0
40,STF-bea9d5c9,Connie Lawrence,doctor,emergency,1
41,STF-bea9d5c9,Connie Lawrence,doctor,emergency,1
42,STF-bea9d5c9,Connie Lawrence,doctor,emergency,0
43,STF-bea9d5c9,Connie Lawrence,doctor,emergency,1
44,STF-bea9d5c9,Connie Lawrence,doctor,emergency,1
45,STF-bea9d5c9,Connie Lawrence,doctor,emergency,0
46,STF-bea9d5c9,Connie Lawrence,doctor,emergency,1
47,STF-bea9d5c9,Connie Lawrence,doctor,emergency,1
48,STF-bea9d5c9,Connie Lawrence,doctor,emergency,0
49,STF-bea9d5c9,Connie Lawrence,doctor,emergency,1
50,STF-bea9d5c9,Connie Lawrence,doctor,emergency,1
51,STF-bea9d5c9,Connie Lawrence,doctor,emergency,0
52,STF-bea9d5c9,Connie Lawrence,doctor,emergency,1
1,STF-d114bde8,Abigail Shaffer,doctor,emergency,1
2,STF-d114bde8,Abigail Shaffer,doctor,emergency,1
3,STF-d114bde8,Abigail Shaffer,doctor,emergency,0
4,STF-d114bde8,Abigail Shaffer,doctor,emergency,1
5,STF-d114bde8,Abigail Shaffer,doctor,emergency,1
6,STF-d114bde8,Abigail Shaffer,doctor,emergency,0
7,STF-d114bde8,Abigail Shaffer,doctor,emergency,1
8,STF-d114bde8,Abigail Shaffer,doctor,emergency,1
9,STF-d114bde8,Abigail Shaffer,doctor,emergency,0
10,STF-d114bde8,Abigail Shaffer,doctor,emergency,1
11,STF-d114bde8,Abigail Shaffer,doctor,emergency,1
12,STF-d114bde8,Abigail Shaffer,doctor,emergency,0
13,STF-d114bde8,Abigail Shaffer,doctor,emergency,1
14,STF-d114bde8,Abigail Shaffer,doctor,emergency,1
15,STF-d114bde8,Abigail Shaffer,doctor,emergency,0
16,STF-d114bde8,Abigail Shaffer,doctor,emergency,1
17,STF-d114bde8,Abigail Shaffer,doctor,emergency,1
18,STF-d114bde8,Abigail Shaffer,doctor,emergency,0
19,STF-d114bde8,Abigail Shaffer,doctor,emergency,1
20,STF-d114bde8,Abigail Shaffer,doctor,emergency,1
21,STF-d114bde8,Abigail Shaffer,doctor,emergency,0
22,STF-d114bde8,Abigail Shaffer,doctor,emergency,1
23,STF-d114bde8,Abigail Shaffer,doctor,emergency,1
24,STF-d114bde8,Abigail Shaffer,doctor,emergency,0
25,STF-d114bde8,Abigail Shaffer,doctor,emergency,1
26,STF-d114bde8,Abigail Shaffer,doctor,emergency,1
27,STF-d114bde8,Abigail Shaffer,doctor,emergency,0
28,STF-d114bde8,Abigail Shaffer,doctor,emergency,1
29,STF-d114bde8,Abigail Shaffer,doctor,emergency,1
30,STF-d114bde8,Abigail Shaffer,doctor,emergency,0
31,STF-d114bde8,Abigail Shaffer,doctor,emergency,0
32,STF-d114bde8,Abigail Shaffer,doctor,emergency,1
33,STF-d114bde8,Abigail Shaffer,doctor,emergency,0
34,STF-d114bde8,Abigail Shaffer,doctor,emergency,0
35,STF-d114bde8,Abigail Shaffer,doctor,emergency,1
36,STF-d114bde8,Abigail Shaffer,doctor,emergency,0
37,STF-d114bde8,Abigail Shaffer,doctor,emergency,1
38,STF-d114bde8,Abigail Shaffer,doctor,emergency,1
39,STF-d114bde8,Abigail Shaffer,doctor,emergency,0
40,STF-d114bde8,Abigail Shaffer,doctor,emergency,1
41,STF-d114bde8,Abigail Shaffer,doctor,emergency,1
42,STF-d114bde8,Abigail Shaffer,doctor,emergency,0
43,STF-d114bde8,Abigail Shaffer,doctor,emergency,1
44,STF-d114bde8,Abigail Shaffer,doctor,emergency,1
45,STF-d114bde8,Abigail Shaffer,doctor,emergency,0
46,STF-d114bde8,Abigail Shaffer,doctor,emergency,1
47,STF-d114bde8,Abigail Shaffer,doctor,emergency,1
48,STF-d114bde8,Abigail Shaffer,doctor,emergency,0
49,STF-d114bde8,Abigail Shaffer,doctor,emergency,1
50,STF-d114bde8,Abigail Shaffer,doctor,emergency,1
51,STF-d114bde8,Abigail Shaffer,doctor,emergency,0
52,STF-d114bde8,Abigail Shaffer,doctor,emergency,1
1,STF-7dfe6d32,Gina Moore,doctor,emergency,1
2,STF-7dfe6d32,Gina Moore,doctor,emergency,1
3,STF-7dfe6d32,Gina Moore,doctor,emergency,0
4,STF-7dfe6d32,Gina Moore,doctor,emergency,1
5,STF-7dfe6d32,Gina Moore,doctor,emergency,0
6,STF-7dfe6d32,Gina Moore,doctor,emergency,0
7,STF-7dfe6d32,Gina Moore,doctor,emergency,1
8,STF-7dfe6d32,Gina Moore,doctor,emergency,1
9,STF-7dfe6d32,Gina Moore,doctor,emergency,0
10,STF-7dfe6d32,Gina Moore,doctor,emergency,1
11,STF-7dfe6d32,Gina Moore,doctor,emergency,1
12,STF-7dfe6d32,Gina Moore,doctor,emergency,0
13,STF-7dfe6d32,Gina Moore,doctor,emergency,0
14,STF-7dfe6d32,Gina Moore,doctor,emergency,1
15,STF-7dfe6d32,Gina Moore,doctor,emergency,0
16,STF-7dfe6d32,Gina Moore,doctor,emergency,1
17,STF-7dfe6d32,Gina Moore,doctor,emergency,1
18,STF-7dfe6d32,Gina Moore,doctor,emergency,0
19,STF-7dfe6d32,Gina Moore,doctor,emergency,1
20,STF-7dfe6d32,Gina Moore,doctor,emergency,0
21,STF-7dfe6d32,Gina Moore,doctor,emergency,0
22,STF-7dfe6d32,Gina Moore,doctor,emergency,1
23,STF-7dfe6d32,Gina Moore,doctor,emergency,1
24,STF-7dfe6d32,Gina Moore,doctor,emergency,0
25,STF-7dfe6d32,Gina Moore,doctor,emergency,1
26,STF-7dfe6d32,Gina Moore,doctor,emergency,1
27,STF-7dfe6d32,Gina Moore,doctor,emergency,0
28,STF-7dfe6d32,Gina Moore,doctor,emergency,1
29,STF-7dfe6d32,Gina Moore,doctor,emergency,0
30,STF-7dfe6d32,Gina Moore,doctor,emergency,0
31,STF-7dfe6d32,Gina Moore,doctor,emergency,1
32,STF-7dfe6d32,Gina Moore,doctor,emergency,1
33,STF-7dfe6d32,Gina Moore,doctor,emergency,0
34,STF-7dfe6d32,Gina Moore,doctor,emergency,1
35,STF-7dfe6d32,Gina Moore,doctor,emergency,1
36,STF-7dfe6d32,Gina Moore,doctor,emergency,0
37,STF-7dfe6d32,Gina Moore,doctor,emergency,1
38,STF-7dfe6d32,Gina Moore,doctor,emergency,0
39,STF-7dfe6d32,Gina Moore,doctor,emergency,0
40,STF-7dfe6d32,Gina Moore,doctor,emergency,1
41,STF-7dfe6d32,Gina Moore,doctor,emergency,1
42,STF-7dfe6d32,Gina Moore,doctor,emergency,0
43,STF-7dfe6d32,Gina Moore,doctor,emergency,1
44,STF-7dfe6d32,Gina Moore,doctor,emergency,1
45,STF-7dfe6d32,Gina Moore,doctor,emergency,0
46,STF-7dfe6d32,Gina Moore,doctor,emergency,1
47,STF-7dfe6d32,Gina Moore,doctor,emergency,1
48,STF-7dfe6d32,Gina Moore,doctor,emergency,0
49,STF-7dfe6d32,Gina Moore,doctor,emergency,1
50,STF-7dfe6d32,Gina Moore,doctor,emergency,1
51,STF-7dfe6d32,Gina Moore,doctor,emergency,0
52,STF-7dfe6d32,Gina Moore,doctor,emergency,1
1,STF-ebbeb197,Gabrielle Davis,nurse,emergency,1
2,STF-ebbeb197,Gabrielle Davis,nurse,emergency,1
3,STF-ebbeb197,Gabrielle Davis,nurse,emergency,0
4,STF-ebbeb197,Gabrielle Davis,nurse,emergency,1
5,STF-ebbeb197,Gabrielle Davis,nurse,emergency,0
6,STF-ebbeb197,Gabrielle Davis,nurse,emergency,0
7,STF-ebbeb197,Gabrielle Davis,nurse,emergency,1
8,STF-ebbeb197,Gabrielle Davis,nurse,emergency,0
9,STF-ebbeb197,Gabrielle Davis,nurse,emergency,0
10,STF-ebbeb197,Gabrielle Davis,nurse,emergency,1
11,STF-ebbeb197,Gabrielle Davis,nurse,emergency,1
12,STF-ebbeb197,Gabrielle Davis,nurse,emergency,0
13,STF-ebbeb197,Gabrielle Davis,nurse,emergency,1
14,STF-ebbeb197,Gabrielle Davis,nurse,emergency,1
15,STF-ebbeb197,Gabrielle Davis,nurse,emergency,0
16,STF-ebbeb197,Gabrielle Davis,nurse,emergency,1
17,STF-ebbeb197,Gabrielle Davis,nurse,emergency,0
18,STF-ebbeb197,Gabrielle Davis,nurse,emergency,0
19,STF-ebbeb197,Gabrielle Davis,nurse,emergency,1
20,STF-ebbeb197,Gabrielle Davis,nurse,emergency,1
21,STF-ebbeb197,Gabrielle Davis,nurse,emergency,0
22,STF-ebbeb197,Gabrielle Davis,nurse,emergency,1
23,STF-ebbeb197,Gabrielle Davis,nurse,emergency,1
24,STF-ebbeb197,Gabrielle Davis,nurse,emergency,0
25,STF-ebbeb197,Gabrielle Davis,nurse,emergency,0
26,STF-ebbeb197,Gabrielle Davis,nurse,emergency,1
27,STF-ebbeb197,Gabrielle Davis,nurse,emergency,0
28,STF-ebbeb197,Gabrielle Davis,nurse,emergency,1
29,STF-ebbeb197,Gabrielle Davis,nurse,emergency,1
30,STF-ebbeb197,Gabrielle Davis,nurse,emergency,0
31,STF-ebbeb197,Gabrielle Davis,nurse,emergency,1
32,STF-ebbeb197,Gabrielle Davis,nurse,emergency,1
33,STF-ebbeb197,Gabrielle Davis,nurse,emergency,0
34,STF-ebbeb197,Gabrielle Davis,nurse,emergency,0
35,STF-ebbeb197,Gabrielle Davis,nurse,emergency,1
36,STF-ebbeb197,Gabrielle Davis,nurse,emergency,0
37,STF-ebbeb197,Gabrielle Davis,nurse,emergency,1
38,STF-ebbeb197,Gabrielle Davis,nurse,emergency,1
39,STF-ebbeb197,Gabrielle Davis,nurse,emergency,0
40,STF-ebbeb197,Gabrielle Davis,nurse,emergency,1
41,STF-ebbeb197,Gabrielle Davis,nurse,emergency,1
